ListingID,S,SubType,St#,StreetName,City,MLSArea,SLC,Price,PricePerSquareFoot,BrBa,Sqft,YrBuilt,AcLSqft,DOMCDOM,ViewYN,PoolPrivateYN,BAC,ContractStatusChangeDate,MLS
SP1068777,A,CONDO/A,171,Brisco RD   #7,ARRG,ARRG,,"$199,900 ",$347.05 ,"1/1,0,0,0",576/A,1977,0.013/575,139/454,Y,,2.5,7/6/16,CCR
PI1066461,A,CONDO/D,1165,Maple    #H,ARRG,ARRG,,"$329,000 ",$301.83 ,"2/2,0,0,0",1090/A,1980,"0.025/1,089",200/200,Y,,2.5,5/3/16,CCR
PI1063778,A,CONDO/D,579,Camino Mercado    #325,ARRG,ARRG,,"$339,500 ",$353.65 ,"2/2,0,0,0",960/A,2007,"0.0241/1,050",273/273,Y,,2.5,2/17/16,CCR
PI1070371,A,CONDO/A,579,Camino Mercado    #225,ARRG,ARRG,,"$348,900 ",$331.34 ,"2/2,0,0,0",1053/A,2007,"0.0241/1,050",95/95,N,,1.75,8/19/16,CCR
PI1066351,A,CONDO/A,1146,Ash ST   #G,ARRG,ARRG,,"$351,000 ",$288.41 ,"3/1,1,1,0",1217/A,1983,"0.0279/1,215",205/205,N,,2.5,5/1/16,CCR
PI1073030,A,CONDO/D,1093,Grieb DR  ,ARRG,ARRG,,"$369,500 ",$281.63 ,"2/1,1,1,0",1312/A,1979,"0.0344/1,498",4-Apr,Y,,2.5,11/18/16,CCR
PI1068914,A,CONDO/A,9107,Arbol Del Rosal WY   #180,ATSC,ATSC,,"$381,999 ",$220.43 ,"3/2,0,1,0",1733/A,2007,"0.08/3,485",131/131,N,,3,7/14/16,CCR
SP1068214,A,CONDO/A,9356,Riberena CR  ,ATSC,ATSC,,"$446,900 ",$215.89 ,"4/3,0,0,0",2070/S,2016,0,111/111,Y,,3*,9/6/16,CCR
PI1066404,A,COMRES/D,8565,El Camino Real   ,ATSC,ATSC,,"$480,000 ",$192.00 ,"2/1,0,1,0",2500/SEE,0,"0.198/8,625",205/205,Y,,2,5/1/16,CCR
SP1070299,A,CONDO/A,6435,Fiddleneck LN   #22,AVIL,AVIL,,"$675,000 ",$482.83 ,"2/2,0,1,0",1398/SEE,1987,"0.0321/1,398",88/88,Y,,2.5,8/17/16,CCR
SP1071688,A,CONDO/A,2283,Cranesbill PL  ,AVIL,AVIL,,"$699,000 ",$404.75 ,"2/2,0,1,0",1727/A,1988,"0.0396/1,725",53/255,Y,,2,9/30/16,CCR
SC1071510,A,CONDO/A,290,Ocean Oaks DR  ,AVIL,AVIL,,"$875,000 ",$745.95 ,"1/2,0,1,0",1173/A,2005,0.018/784,57/57,Y,Y,2.25,9/26/16,CCR
