ListingID,S,SubType,St#,StreetName,City,MLSArea,SLC,Price,PricePerSquareFoot,BrBa,Sqft,YrBuilt,AcLSqft,DOMCDOM,ViewYN,PoolPrivateYN,BAC,ContractStatusChangeDate,MLS
PI1069605,A,SFR/D,4410,Upper Lopez Canyon   ,ARRG,ARRG,,"$345,000 ",$479.17 ,"1/1,0,0,0",720/S,1985,"40.5152/1,764,842",113/113,Y,,3.5,8/1/16,CCR
PI1071501,A,SFR/A,360,Tiger Tail DR  ,ARRG,ARRG,,"$369,900 ",$339.98 ,"2/2,0,0,0",1088/A,1976,"0.1164/5,070",60/60,Y,,2.5,9/23/16,CCR
PI1072897,A,SFR/A,541,Bakeman LN  ,ARRG,ARRG,,"$369,900 ",$366.96 ,"2/1,0,0,0",1008/A,1983,"0.0735/3,202",Oct-55,Y,,2.5,11/12/16,CCR
PI1070362,A,SFR/A,345,Tiger Tail DR  ,ARRG,ARRG,,"$373,900 ",$284.98 ,"2/1,1,0,0",1312/A,1976,"0.0918/3,999",95/95,Y,,2.5,8/19/16,CCR
SJ1069663,A,SFR/A,1164,Pacific Pointe WY  ,ARRG,ARRG,,"$449,000 ",$338.61 ,"3/2,0,0,0",1326/A,1989,"0.0918/3,999",85/85,Y,,2.25,9/8/16,CCR
PI1072795,A,SFR/D,1484,Ash   ,ARRG,ARRG,,"$469,000 ",$342.34 ,"3/2,0,0,0",1370/A,2005,"0.1314/5,724",13/13,Y,,2.5,11/9/16,CCR
PI1072503,A,SFR/D,555,Halcyon   ,ARRG,ARRG,,"$489,900 ",$327.04 ,"3/2,0,0,0",1498/A,1976,"0.15/6,534",25/355,N,,2.5,10/28/16,CCR
IV16145248,A,SFR/D,827,Willow LN  ,ARRG,ARRG,"FOR,NOD","$498,000 ",$312.03 ,"4/2,0,0,0",1596/A,1962/EST,"0.166/7,242",140/140,N,N,2.5,7/5/16,CRMLSM
PI1072617,A,SFR/D,418,California   ,ARRG,ARRG,,"$509,000 ",$447.28 ,"3/1,0,0,0",1138/A,1947,"0.1997/8,699",26/26,Y,,2.5,10/27/16,CCR
PI1072933,A,SFR/D,306,Hondonada RD  ,ARRG,ARRG,,"$519,000 ",$297.25 ,"2/1,1,0,0",1746/AP,0,"4.7362/206,309",8-Aug,Y,,2.5,11/14/16,CCR
PI1072881,A,SFR/D,563,Le Point ST  ,ARRG,ARRG,,"$529,000 ",$638.89 ,"2/1,1,0,0",828/S,1900,"0.132/5,750",11-Nov,Y,,2.5,11/11/16,CCR
PI1072698,A,SFR/D,778,Dodson   ,ARRG,ARRG,,"$539,000 ",$308.00 ,"4/1,0,1,0",1750/S,1962,"0.1459/6,355",18/18,Y,,2.5,11/4/16,CCR
