ListingID,S,SubType,St#,StName,City,MLSArea,SLC,L/C Price,Price Per Square Foot,Br/Ba,Sqft,YrBuilt,AcLSqft,DOM/CDOM,ViewYN,PoolPrivateYN,BAC,Contract Status Change Date,MLS
SP1068777,A,CONDO/A,171,Brisco RD   #7,ARRG,ARRG,,"$199,900 ",$347.05 ,"1/1,0,0,0",576/A,1977,0.013/575,145/460,Y,,2.5,7/6/16,CCR
PI1070961,A,/A,278,Spruce   ,ARRG,ARRG,,"$325,000 ",$281.39 ,"2/1,1,0,0",1155/A,1982,"0.0265/1,154",43/43,N,,2.5,9/7/16,CCR
PI1066461,A,CONDO/D,1165,Maple    #H,ARRG,ARRG,,"$329,000 ",$301.83 ,"2/2,0,0,0",1090/A,1980,"0.025/1,089",206/206,Y,,2.5,5/3/16,CCR
PI1063778,A,CONDO/D,579,Camino Mercado    #325,ARRG,ARRG,,"$339,500 ",$353.65 ,"2/2,0,0,0",960/A,2007,"0.0241/1,050",279/279,Y,,2.5,2/17/16,CCR
PI1069605,A,SFR/D,4410,Upper Lopez Canyon   ,ARRG,ARRG,,"$345,000 ",$479.17 ,"1/1,0,0,0",720/S,1985,"40.5152/1,764,842",119/119,Y,,3.5,8/1/16,CCR
PI1070371,A,CONDO/A,579,Camino Mercado    #225,ARRG,ARRG,,"$348,900 ",$331.34 ,"2/2,0,0,0",1053/A,2007,"0.0241/1,050",101/101,N,,1.75,8/19/16,CCR
PI1066351,A,CONDO/A,1146,Ash ST   #G,ARRG,ARRG,,"$351,000 ",$288.41 ,"3/1,1,1,0",1217/A,1983,"0.0279/1,215",211/211,N,,2.5,5/1/16,CCR
PI1072681,A,/A,1157,Clevenger   ,ARRG,ARRG,,"$369,000 ",$312.71 ,"2/1,0,1,0",1180/A,0,"0.0344/1,498",24/24,Y,,2.5,11/4/16,CCR
PI1073030,A,CONDO/D,1093,Grieb DR  ,ARRG,ARRG,,"$369,500 ",$281.63 ,"2/1,1,1,0",1312/A,1979,"0.0344/1,498",10-Oct,Y,,2.5,11/18/16,CCR
PI1071501,A,SFR/A,360,Tiger Tail DR  ,ARRG,ARRG,,"$369,900 ",$339.98 ,"2/2,0,0,0",1088/A,1976,"0.1164/5,070",66/66,Y,,2.5,9/23/16,CCR
PI1072897,A,SFR/A,541,Bakeman LN  ,ARRG,ARRG,,"$369,900 ",$366.96 ,"2/1,0,0,0",1008/A,1983,"0.0735/3,202",16/61,Y,,2.5,11/12/16,CCR
PI1070362,A,SFR/A,345,Tiger Tail DR  ,ARRG,ARRG,,"$373,900 ",$284.98 ,"2/1,1,0,0",1312/A,1976,"0.0918/3,999",101/101,Y,,2.5,8/19/16,CCR
SJ1069663,A,SFR/A,1164,Pacific Pointe WY  ,ARRG,ARRG,,"$449,000 ",$338.61 ,"3/2,0,0,0",1326/A,1989,"0.0918/3,999",91/91,Y,,2.25,9/8/16,CCR
PI1071664,A,MANL/D,355,Cougar Canyon WY  ,ARRG,ARRG,,"$449,900 ",$360.50 ,"2/2,0,0,0",1248/A,1995,"12.67/551,905",61/61,Y,,2.5,9/28/16,CCR
PI1071803,A,/D,210,Cranberry   ,ARRG,ARRG,,"$449,900 ",$358.77 ,"2/2,0,0,0",1254/A,2002,"0.0689/3,001",68/68,Y,,2.5,9/21/16,CCR
PI1072083,A,/A,439 S,Oak Park BL  ,ARRG,ARRG,,"$469,000 ",$344.85 ,"3/2,0,1,0",1360/A,2003,"0.0689/3,001",45/45,Y,,3,10/14/16,CCR
PI1072795,A,SFR/D,1484,Ash   ,ARRG,ARRG,,"$469,000 ",$342.34 ,"3/2,0,0,0",1370/A,2005,"0.1314/5,724",19/19,Y,,2.5,11/9/16,CCR
PI1071485,A,/A,1472,Ash ST  ,ARRG,ARRG,,"$482,900 ",$354.03 ,"3/2,0,0,0",1364/A,2005,"0.0898/3,912",66/66,Y,,2.5,9/23/16,CCR
PI1072503,A,SFR/D,555,Halcyon   ,ARRG,ARRG,,"$489,900 ",$327.04 ,"3/2,0,0,0",1498/A,1976,"0.15/6,534",31/361,N,,2.5,10/28/16,CCR
IV16145248,A,SFR/D,827,Willow LN  ,ARRG,ARRG,"FOR,NOD","$498,000 ",$312.03 ,"4/2,0,0,0",1596/A,1962/EST,"0.166/7,242",146/146,N,N,2.5,7/5/16,CRMLSM
PI1072617,A,SFR/D,418,California   ,ARRG,ARRG,,"$509,000 ",$447.28 ,"3/1,0,0,0",1138/A,1947,"0.1997/8,699",32/32,Y,,2.5,10/27/16,CCR
PI1073104,A,SFR/A,120,Oak   ,ARRG,ARRG,,"$519,000 ",$393.18 ,"3/2,0,0,0",1320/A,0,"0.1377/5,998",6-Jun,N,,1.5,11/22/16,CCR
PI1071033,A,/A,433 S,Oak Park BL  ,ARRG,ARRG,,"$529,000 ",$388.97 ,"3/1,1,1,0",1360/A,2002,"0.069/3,001",80/80,Y,,2,9/9/16,CCR
PI1072881,A,SFR/D,563,Le Point ST  ,ARRG,ARRG,,"$529,000 ",$638.89 ,"2/1,1,0,0",828/S,1900,"0.132/5,750",17/17,Y,,2.5,11/11/16,CCR
PI1072698,A,SFR/D,778,Dodson   ,ARRG,ARRG,,"$539,000 ",$308.00 ,"4/1,0,1,0",1750/S,1962,"0.1459/6,355",24/24,Y,,2.5,11/4/16,CCR
PI1070761,A,/D,215,Oakwood CT  ,ARRG,ARRG,,"$549,000 ",$360.24 ,"3/2,0,0,0",1524/A,1991,"0.08/3,485",88/88,Y,,2.5,9/1/16,CCR
PI1070762,A,SFR/D,215,Oakwood CT  ,ARRG,ARRG,,"$549,000 ",$360.24 ,"3/2,0,0,0",1524/A,1991,"0.08/3,485",88/88,Y,,2.5,9/1/16,CCR
PI1071681,A,SFR/D,173,Alder ST  ,ARRG,ARRG,,"$549,000 ",$337.85 ,"4/2,0,0,0",1625/S,1979,"0.1446/6,299",49/49,N,,2.5,9/29/16,CCR
PI1063725,A,SFR/D,145 W,Branch ST  ,ARRG,ARRG,,"$550,000 ",$627.85 ,"2/1,0,0,0",876/A,1904,"0.1423/6,199",402/402,Y,,2,10/23/15,CCR
PI1071097,A,SFR/D,1406,Chilton ST  ,ARRG,ARRG,,"$570,000 ",$389.34 ,"3/2,0,0,0",1464/A,1985,"0.1786/7,780",70/70,Y,,2.5,9/19/16,CCR
PI1072029,A,SFR/D,516,Starlight   ,ARRG,ARRG,,"$575,000 ",$362.32 ,"3/2,0,0,0",1587/A,1999,"0.1201/5,232",46/46,Y,,2.5,10/13/16,CCR
PI1066535,A,SFR/A,877,Tempus CR  ,ARRG,ARRG,,"$679,000 ",$307.66 ,"3/2,0,0,0",2207/A,1985,"0.0952/4,147",206/206,Y,,2,5/5/16,CCR
PI1070876,A,SFR/D,144,Moore LN  ,ARRG,ARRG,,"$698,000 ",$431.93 ,"3/2,0,0,0",1616/A,0,"1.0508/45,773",80/80,Y,,2.5,9/9/16,CCR
SP1070393,A,SFR/D,850,StageCoach RD  ,ARRG,ARRG,,"$699,000 ",$422.10 ,"3/2,0,0,0",1656/A,2004,"2.5/108,900",98/98,Y,,2.5,8/22/16,CCR
PI1070568,A,SFR/D,101,Equestrian WY  ,ARRG,ARRG,,"$699,900 ",$329.06 ,"3/2,0,0,0",2127/AP,0,"0.4025/17,533",95/95,Y,,2.5,8/25/16,CCR
PI1072416,A,SFR/D,310,Whiteley ST  ,ARRG,ARRG,,"$725,000 ",$435.44 ,"3/1,1,0,0",1665/A,1952,"0.1561/6,800",20/20,Y,,2,10/26/16,CCR
PI1067335,A,SFR/D,331,StageCoach RD  ,ARRG,ARRG,,"$762,000 ",$290.73 ,"3/2,0,1,0",2621/A,1980,"0.2066/8,999",186/186,Y,,2.5,5/26/16,CCR
